"","Word","Feeling"
"549","animal","-1"
"551","animar","1"
"553","animista","0"
"554","animosidade","-1"
"555","animoso","1"
"556","aniquilado","-1"
"557","aniquilar","1"
"559","anjinho","-1"
"560","anómalo","-1"
"561","anoréctico","-1"
"562","anorético","-1"
"563","anorexia nervosa","-1"
"564","anorexia","-1"
"565","anormal","-1"
"566","anormalidade","-1"
"567","anotia","-1"
"568","ansioso","-1"
"569","antepassado","0"
"570","anti-republicano","-1"
"571","antidemocrata","-1"
"572","antidesportista","-1"
"573","antidesportivismo","-1"
"574","antidogmático","1"
"575","antifascista","1"
"576","antifederalista","0"
"577","antigo","0"
"578","antiliberal","-1"
"579","antiliberalista","-1"
"580","antimilitarista","0"
"581","antinatural","-1"
"582","antinazista","1"
"583","antinómico","-1"
"584","antipapista","0"
"585","antipartidário","0"
"586","antipatia","-1"
"587","antipático","-1"
"588","antipatriota","-1"
"589","antipatriotismo","-1"
"590","antipolítico","-1"
"591","antiquado","-1"
"592","antisocial","-1"
"593","antoniano","0"
"594","antonino","0"
"595","antropófago","-1"
"596","anular","1"
"598","apadrinhado","0"
"599","apagado","-1"
"600","apagar-se","-1"
"601","apagar","1"
"603","apaixonado","0"
"604","apaixonante","1"
"605","apaixonar-se","0"
"607","apaixonar","1"
"609","apalavrado","0"
"610","apalermado","-1"
"611","apalhaçado","-1"
"612","apancado","-1"
"613","apanhado","-1"
"614","apanhar nas orelhas","-1"
"615","apanhar por tabela","-1"
"616","apaparicar","-1"
"618","aparolado","-1"
"619","apartado","-1"
"620","aparvalhado","-1"
"621","apatetado","-1"
"622","apatia","-1"
"623","apático","-1"
"624","apatriota","-1"
"625","apavorado","-1"
"626","apavorante","-1"
"627","apavorar-se","-1"
"628","apavorar","1"
"630","apaziguador","1"
"631","apaziguar","1"
"633","apeado","-1"
"634","apedantado","-1"
"635","apedrejado","-1"
"636","apedrejar","-1"
"638","apelativo","1"
"639","apele","0"
"640","apelidado","0"
"641","aperaltado","-1"
"642","aperreado","-1"
"643","apessoado","1"
"644","apetitoso","0"
"645","aplaudir","0"
"647","aplicado","1"
"649","aplicar golpes baixos a","-1"
"651","apócrifo","-1"
"652","apoiar","0"
"654","apolíneo","1"
"655","apologético","0"
"656","apopléctico","-1"
"657","apoplético","-1"
